col1,特征1,特征2,特征3,特征4,特征5,特征6,特征7,特征8,特征9,特征10,特征11,特征12,特征13,特征14,特征15,特征16,特征17,特征18,特征19,特征20,特征21,特征22,特征23,特征24,特征25,特征26,特征27,特征28,特征29,特征30,特征31,特征32,特征33,特征34,特征35,特征36,特征37,特征38,特征39,特征40,特征41,特征42,特征43
237,265.9642,358.025,372.7,345.54,350.6468,380.49,368.9072,382.6316,377.158,386.7,392.85,395.58,176.1663,384.18,383.7204,386.7136,389.9632,234.992,2.7496,180.8612,29.0937,81.17157,74895.12,33.25623,238.046,25.26756,0.03980773,101.9543,2.503903,313.4,153.057,191.1,9.986506,27.08493,206.5387,61.02627,225.1227,203.2,204.5,0.992125,32.78379,62.1642,45.91419
241,265.4175,360.425,378.4787,347.0036,353.6936,385.32,369.5272,382.3554,377.8436,389.0946,395.34,397.1754,170.3078,384.061,384.1426,386.97,389.6528,232.052,2.755,179.089,29.0549,84.8422,75375.28,34.48389,237.2291,24.67668,0.04064,106.5949,2.50925,312.8607,150.9053,192.3,0.6561334,29.26925,204.0607,61.075,225.4033,206.7,206.5,0.98225,33.60085,59.96467,47.56106
238,265.5084,359.0102,375.5407,345.69,352.08,383.94,369.5268,382.41,377.9934,389.6588,396.03,397.74,165.5,383.8866,384.2908,386.9512,389.4244,230.3428,2.747213,177.3911,28.99972,84.09535,76324.8,34.54573,239.1181,24.45786,0.03905627,104.6403,2.489725,312.9,150.9268,192.6407,7.774373,29.20444,204,61.13323,224.0187,206.3407,206.2,0.98125,33.54942,60.405,47.72078
240,265.0565,360.4445,375.6827,345.4678,350.67,380.01,368.6654,382.1512,377.5556,388.3032,394.17,397.2666,171.2587,385.3978,384.3702,387.5344,389.9237,228.9,2.747793,178.5498,29.05587,84.54052,75873.88,34.70602,236.3338,25.27443,0.03755307,102.472,2.5068,311.8413,150.6474,185.9,8.575893,28.0713,205.1,61.12313,218.3413,201.3,201.6,0.9810733,33.16549,59.8162,46.45197
241,264.7325,360.6216,376.3137,345.69,350.82,381.9259,368.7312,383.1041,377.6788,388.213,394.17,396.99,177.1629,385.4012,384.6512,387.4582,389.8841,233.9416,2.7486,178.5355,28.976,85.11741,76240.73,35.37281,236.6825,25.01752,0.03834863,100.4625,2.506471,312.2568,151.1478,186.8,0.8153698,29.63395,205.5432,59.94617,220.6,201.6432,202.6,0.9797329,33.15482,60.07206,48.36032
236,284.7917,362.45,380,346.9672,352.08,382.2428,370.7352,384.686,380.0744,391.0884,396.9644,400.56,185.5457,388.23,389.5148,390.7116,392.9656,241.3103,2.759632,186.2368,29.06157,97.78201,84732.96,37.75962,253.3316,29.24301,0.04122,111.5394,2.504857,310.8573,163.9899,184.2427,9.120267,34.34654,202.3573,64.4992,220.728,201.5,201.8573,0.979875,33.92176,60.6328,55.94834
235,285.3382,362.9358,381.7867,347.057,352.14,381.51,370.646,384.81,379.89,390.84,396.497,400.2,191.1675,387.81,389.756,390.908,393.052,242.9292,2.756853,185.5079,29.00735,98.72871,83877.8,36.75531,253.5536,29.95821,0.0424904,111.7721,2.49554,310.2,162.7099,183.1,8.13776,34.56231,202.9,64.522,220.1867,199.8,200.3,0.979665,34.02784,60.4604,56.26856
236,284.9643,361.05,379.05,347.07,352.4402,382.86,370.8165,385.71,380.4604,391.26,397.05,400.8146,188.8032,387.8849,389.4007,390.9,393.0142,245.1865,2.755,185.0273,29.03992,96.49802,82876.83,38.6331,254.0226,28.24313,0.04123,113.6048,2.50025,311.25,164.004,188,9.124001,34.52,204.85,64.4025,223.55,203.7,203.6,0.97725,33.454,59.425,54.83585
241,285.1589,361.1023,378.7453,347.04,352.2628,382.6392,370.958,385.5628,380.1872,391.6856,397.5928,401.0536,189.302,387.66,389.7876,390.7636,393.1528,248.6093,2.754947,190.5388,28.94828,91.73173,85241.76,37.83381,253.8541,27.53142,0.04072,110.7746,2.493123,312.8453,166.8275,187.6,0.71456,34.09386,204.6,64.44846,222.0453,202.3,203,0.9805683,34.40363,61.19453,55.17637
240,290.2208,363.1345,379.846,347.9676,353.1762,382.5414,371.868,386.55,381.2676,392.4714,398.2224,401.88,194.3345,388.41,390.8568,392.0304,394.5,248.449,2.75726,191.2148,28.95515,96.32103,85655.76,37.89434,261.2454,29.70535,0.043422,113.3605,2.509745,313.8,164.7943,185.346,0.34824,34.6599,204.646,65.8396,229.184,201.646,202.6,0.9816825,34.00008,60.0992,56.10502
